date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
28-Mar-20,2020-03-28,Confirmed,143,3,6,0,0,2,0,1,0,9,0,0,8,0,2,0,13,17,6,0,30,0,0,10,0,0,0,0,0,4,0,8,4,0,16,1,3
29-Mar-20,2020-03-29,Confirmed,110,0,2,0,0,4,0,0,0,23,0,2,8,0,0,0,5,2,20,0,17,0,0,0,0,0,0,0,0,5,0,3,8,0,7,1,3
30-Mar-20,2020-03-30,Confirmed,187,1,2,0,0,0,5,1,0,25,0,0,7,0,1,0,11,5,32,0,17,0,0,8,0,0,0,3,0,20,0,7,17,0,24,0,1
31-Mar-20,2020-03-31,Confirmed,309,0,21,0,1,6,2,1,0,23,0,0,4,0,7,1,6,13,7,0,82,0,0,19,0,0,1,1,0,14,0,20,57,0,8,0,15
01-Apr-20,2020-04-01,Confirmed,424,0,67,0,15,3,2,0,0,32,0,0,13,0,0,0,7,9,24,0,33,0,0,32,0,0,1,4,2,27,0,30,110,0,13,0,0
02-Apr-20,2020-04-02,Confirmed,486,0,38,1,0,5,1,0,0,141,0,0,1,3,6,1,8,14,21,0,88,0,1,9,0,0,0,1,2,13,0,27,75,0,11,3,16
03-Apr-20,2020-04-03,Confirmed,560,0,15,0,7,2,0,0,0,93,0,1,7,0,9,0,5,4,9,0,64,0,0,47,0,0,15,6,0,46,0,75,102,0,46,6,0
04-Apr-20,2020-04-04,Confirmed,579,0,28,0,3,1,0,1,0,59,0,1,13,7,26,0,17,16,11,0,148,0,0,25,0,0,1,12,0,27,0,43,74,0,60,6,0
05-Apr-20,2020-04-05,Confirmed,609,0,64,0,0,0,0,0,0,58,0,0,20,1,6,1,14,7,8,0,112,0,0,14,0,0,18,3,0,60,0,62,86,0,44,4,27
06-Apr-20,2020-04-06,Confirmed,484,0,47,0,0,0,0,0,0,22,0,0,18,4,20,1,3,12,13,0,121,0,0,63,0,0,1,11,0,35,0,30,50,1,27,5,0
07-Apr-20,2020-04-07,Confirmed,572,0,11,0,2,6,0,0,0,51,0,0,29,9,33,0,16,12,9,0,150,0,0,34,0,0,2,20,0,42,0,40,69,0,27,0,11
08-Apr-20,2020-04-08,Confirmed,565,1,34,0,0,1,0,0,0,93,0,0,11,0,24,0,33,6,9,0,117,0,0,51,0,0,0,7,0,40,0,49,48,0,29,4,8
09-Apr-20,2020-04-09,Confirmed,813,0,15,0,1,19,0,8,0,51,0,0,76,1,3,9,26,16,12,0,229,0,0,70,0,0,6,24,0,80,0,18,96,0,49,0,4
10-Apr-20,2020-04-10,Confirmed,871,0,18,0,0,2,1,0,0,183,0,0,116,0,6,1,23,10,7,0,210,0,0,40,0,0,2,21,2,98,0,16,77,1,23,0,13
